occupation_group,skill,year,count,n_postings,pct
Education & Training,Emotional Intelligence,2022,1,430,0.2326
Education & Training,Event Planning,2022,2,430,0.4651
Education & Training,Filing,2022,8,430,1.8605
Education & Training,Financial Analysis,2022,2,430,0.4651
Education & Training,Forecasting,2022,1,430,0.2326
Education & Training,Fundraising,2022,1,430,0.2326
Education & Training,Google Workspace,2022,1,430,0.2326
Education & Training,HTML,2022,8,430,1.8605
Education & Training,Interpersonal Skills,2022,12,430,2.7907
Education & Training,LMS,2022,3,430,0.6977
Education & Training,Leadership,2022,64,430,14.8837
Education & Training,Machine Learning,2022,3,430,0.6977
Education & Training,Materials Science,2022,2,430,0.4651
Education & Training,Mechanical Engineering,2022,12,430,2.7907
Education & Training,Mental Health,2022,3,430,0.6977
Education & Training,Mentoring,2022,99,430,23.0233
Education & Training,Microsoft Excel,2022,37,430,8.6047
Education & Training,Microsoft Office,2022,11,430,2.5581
Education & Training,Microsoft PowerPoint,2022,6,430,1.3953
Education & Training,Microsoft Teams,2022,1,430,0.2326
Education & Training,Microsoft Word,2022,4,430,0.9302
Education & Training,Multitasking,2022,2,430,0.4651
Education & Training,MySQL,2022,3,430,0.6977
